0.117,1.016,0.0,9.704,7.21,20.606,0,0,0
0.113,1.016,0.004,11.926,2.756,17.203,0,0,0
0.129,1.016,0.012,13.029,-1.243,15.531,0,0,0
0.145,1.004,0.023,16.135,-3.806,16.319,0,0,0
0.129,1.004,0.016,14.875,-4.454,11.419,0,0,0
0.156,0.992,0.031,15.881,-7.761,11.69,0,0,0
0.145,1.004,0.043,15.514,-10.938,10.028,0,0,0
0.121,1.012,0.031,13.974,-11.804,8.969,0,0,0
0.117,1.023,0.012,13.93,-12.285,8.549,0,0,0
0.137,1.008,-0.004,14.989,-14.035,9.284,0,0,0
0.109,1.016,0.023,20.239,-18.209,12.434,0,0,0
0.09,1.035,0.035,22.768,-21.026,13.781,0,0,0
0.09,1.059,0.047,23.643,-21.674,12.591,0,0,0
0.094,1.07,0.043,25.13,-19.285,10.509,0,0,0
0.105,1.062,0.043,22.269,-17.027,5.443,0,0,0
0.121,1.074,0.023,20.388,-15.365,3.57,0,0,0
0.121,1.082,0.012,19.355,-14.473,2.879,0,0,0
0.113,1.086,-0.996,19.784,-14.56,5.329,0,0,0
0.102,1.09,-0.035,22.505,-8.129,2.319,0,0,0
0.094,1.066,-0.066,17.596,-10.001,0.77,0,0,0
0.16,1.039,-0.098,16.389,-1.496,-3.378,0,0,0
0.191,0.988,-0.121,20.746,0.858,-4.008,0,0,0
0.184,0.977,-0.109,23.853,-0.341,-3.745,0,0,0
0.18,0.965,-0.113,25.961,-3.833,-4.594,0,0,0
0.18,0.953,-0.121,27.493,-6.834,-5.548,0,0,0
0.168,0.945,-0.156,32.358,-6.545,-4.883,0,0,0
0.152,0.965,-0.141,49.525,0.114,-2.223,0,0,0
0.07,1.0,-0.125,32.016,-9.03,-15.216,0,0,0
0.094,0.988,-0.164,23.748,-29.759,-21.341,0,0,0
0.102,0.996,-0.207,23.284,-44.879,-23.581,0,0,0
0.008,0.98,-0.254,36.312,-53.541,-30.275,0,0,0
0.012,0.918,-0.234,41.213,-46.174,-37.538,0,0,0
0.023,0.906,-0.199,43.208,-41.169,-39.865,0,0,0
0.074,0.879,-0.184,44.52,-44.8,-42.228,0,0,0
0.121,0.867,-0.184,42.079,-47.346,-43.374,0,0,0
0.141,0.859,-0.16,39.743,-49.7,-46.139,0,0,0
0.137,0.844,-0.188,36.619,-45.894,-48.983,0,0,0
0.141,0.793,-0.168,40.206,-42.543,-53.034,0,0,0
0.113,0.77,-0.172,50.794,-39.331,-55.064,0,0,0
0.125,0.977,-0.176,42.219,-43.969,-61.574,0,0,0
0.145,1.082,-0.203,13.764,-34.423,-61.644,0,0,0
0.137,1.137,-0.305,40.373,-42.98,-61.906,0,0,0
0.215,1.18,-0.359,63.543,-36.663,-48.65,0,0,0
0.301,1.16,-0.375,48.58,-25.664,-41.256,0,0,0
0.262,1.043,-0.395,24.658,-5.364,-42.158,0,0,0
0.258,0.957,-0.352,33.11,11.856,-38.246,0,0,0
0.25,0.922,-0.277,33.539,18.515,-45.369,0,0,0
0.25,0.938,-0.254,23.616,34.886,-49.578,0,0,0
0.242,0.969,-0.219,15.496,56.009,-57.908,0,0,0
0.223,0.984,-0.145,6.02,69.458,-67.55,0,0,0
0.184,0.992,-0.086,-8.628,73.509,-77.464,0,0,0
0.098,0.918,-0.059,-9.153,51.905,-66.579,0,0,0
0.062,0.93,-0.094,-23.126,18.708,-58.599,0,0,0
0.039,0.922,-0.219,-33.933,-54.871,-38.456,0,0,0
0.141,0.957,-0.293,-47.863,-91.105,-21.123,0,0,0
0.184,0.977,-0.422,-56.63,-124.941,-14.455,0,0,0
0.004,0.941,-0.414,-41.939,-108.815,1.575,0,0,0
-0.07,0.922,-0.367,-27.685,-81.786,-8.278,0,0,0
-0.043,0.895,-0.379,-23.354,-45.693,-28.14,0,0,0
0.043,0.879,-0.371,-19.259,-3.299,-43.006,0,0,0
